携带物品
中文	日文	英文	道具说明
光粉	光粉	ひかりのこな	Bright Powder	闪闪发光的粉末。携带后，光芒会迷惑对手，从而使其招式变得不容易命中。
先制之爪	先制之爪	せんせいのツメ	Quick Claw	又轻又尖锐的爪子。携带后，有时能比对手先一步行动。
王者之证	王者之证	おうじゃのしるし	King's Rock	携带后进行攻击，在造成伤害时，有时会让对手畏缩。
银粉	银粉	ぎんのこな	Silver Powder	散发着银色光辉的粉末。携带后，虫属性的招式威力就会提高。
护符金币	护符金币	おまもりこばん	Amulet Coin	只要携带它的宝可梦在战斗时出场一次，就能获得２倍金钱。
洁净之符	洁净之符	きよめのおふだ	Cleanse Tag	让排在最前面的宝可梦携带后，野生宝可梦就会不容易出现。
烟雾球	烟雾球	けむりだま	Smoke Ball	携带它的宝可梦在和野生宝可梦的战斗中绝对可以逃走。
不变之石	不变之石	かわらずのいし	Everstone	携带后，宝可梦在此期间不会进化的神奇石头。
气势头带	气势头带	きあいのハチマキ	Focus Band	携带后，即便受到可能会导致濒死的招式，有时也能仅以１ＨＰ撑过去。
幸运蛋	幸运蛋	しあわせタマゴ	Lucky Egg	满载着幸福的蛋。携带它的宝可梦获得的经验值会少量增加。
焦点镜	焦点镜	ピントレンズ	Scope Lens	能看见弱点的镜片。携带它的宝可梦的招式会变得容易击中要害。
金属膜	金属膜	メタルコート	Metal Coat	特殊的金属膜。携带后，钢属性的招式威力就会提高。
吃剩的东西	吃剩的东西	たべのこし	Leftovers	携带后，宝可梦的ＨＰ会在战斗期间缓缓回复。
龙之鳞片	龙之鳞片	りゅうのウロコ	Dragon Scale	又硬又坚固的鳞片。龙属性宝可梦有时会携带它。
电气球	电气球	でんきだま	Light Ball	让皮卡丘携带后，攻击和特攻的威力就会提高的神奇之球。
柔软沙子	柔软沙子	やわらかいすな	Soft Sand	手感细腻的沙子。携带后，地面属性的招式威力就会提高。
硬石头	硬石头	かたいいし	Hard Stone	绝对不会裂开的石头。携带后，岩石属性的招式威力就会提高。
奇迹种子	奇迹种子	きせきのタネ	Miracle Seed	孕育生命的种子。携带后，草属性的招式威力就会提高。
黑色眼镜	黑色眼镜	くろいメガネ	Black Glasses	看上去很奇怪的眼镜。携带后，恶属性的招式威力就会提高。
黑带	黑带	くろおび	Black Belt	能振作精神的带子。携带后，格斗属性的招式威力就会提高。
磁铁	磁铁	じしゃく	Magnet	强力的磁铁。携带后，电属性的招式威力就会提高。
神秘水滴	神秘水滴	しんぴのしずく	Mystic Water	水滴形状的宝石。携带后，水属性的招式威力就会提高。
锐利鸟嘴	锐利鸟嘴	するどいくちばし	Sharp Beak	又长又尖的鸟嘴。携带后，飞行属性的招式威力就会提高。
毒针	毒针	どくバリ	Poison Barb	有毒的小针。携带后，毒属性的招式威力就会提高。
不融冰	不融冰	とけないこおり	Never-Melt Ice	能隔绝热量的冰。携带后，冰属性的招式威力就会提高。
咒术之符	咒术之符	のろいのおふだ	Spell Tag	古怪可怕的咒符。携带后，幽灵属性的招式威力就会提高。
弯曲的汤匙	弯曲的汤匙	まがったスプーン	Twisted Spoon	注入了念力的汤匙。携带后，超能力属性的招式威力就会提高。
木炭	木炭	もくたん	Charcoal	焚烧用的燃料。携带后，火属性的招式威力就会提高。
龙之牙	龙之牙	りゅうのキバ	Dragon Fang	坚硬锐利的牙齿。携带后，龙属性的招式威力就会提高。
粉红色丝带	粉红色丝带	ピンクのリボン	Pink Bow	携带后，一般属性的招式威力就会提高。
水玉色之带	水玉色之带	みずたまりボン	Polkadot Bow
丝绸围巾	丝绸围巾	シルクのスカーフ	Silk Scarf	手感不错的围巾。携带后，一般属性的招式威力就会提高。
破坏基因	破坏基因	はかいのいでんし	Berserk Gene	攻击的威力就会提高，但会造成混乱。
升级数据	升级数据	アップグレード	Up-Grade	内部储存了各种信息的透明机器。西尔佛公司制造。
吉利拳	吉利拳	ラッキーパンチ	Lucky Punch	能带来幸运的拳套。让吉利蛋携带后，招式会变得容易击中要害。
金属粉	金属粉	メタルパウダー	Metal Powder	让百变怪携带后，防御就会提高的神奇粉末。非常细腻坚硬。
速度粉	速度粉	スピードパウダー	Quick Powder	让百变怪携带后，速度就会提高的神奇粉末。非常细腻坚硬。
粗骨头	粗骨头	ふといホネ	Thick Club	某种坚硬的骨头。让卡拉卡拉或嘎啦嘎啦携带后，攻击就会提高。
大葱	大葱	ながねぎ	Stick	非常长且坚硬的茎。让大葱鸭携带后，招式会变得容易击中要害。
果实	果实	きのみ	Berry	携带后，可以回复自己１０点体力。
黄金的果实	黄金的果实	おうごんのみ	Gold Berry	携带后，可以回复自己３０点体力。
消除麻痹的果实	消除麻痹的果实	まひなおしのみ	PRZCureBerry	携带后，可以治愈自己的麻痹状态。
解毒的果实	解毒的果实	どくけしのみ	PSNCureBerry	携带后，可以治愈自己的中毒状态。
苦涩的果实	苦涩的果实	にがいきのみ	Bitter Berry	携带后，可以治愈自己的混乱状态。
烧烤的果实	烧烤的果实	やけたきのみ	Burnt Berry	携带后，可以治愈自己的冰冻状态。
冰冻的果实	冰冻的果实	こおったきのみ	Ice Berry	携带后，可以治愈自己的灼伤状态。
薄荷的果实	薄荷的果实	はっかのみ	Mint Berry	携带后，可以治愈自己的睡眠状态。
奇迹的果实	奇迹的果实	きせきのみ	MiracleBerry	携带后，可以治愈自己所有的异常状态。
神奇的果实	神奇的果实	ふしぎなきのみ	MysteryBerry	携带后，可以在战斗中回复自己的ＰＰ。
白色香草	白色香草	しろいハーブ	White Herb	当携带它的宝可梦能力降低时，仅能回到之前的状态１次。
心灵香草	心灵香草	メンタルハーブ	Mental Herb	当携带它的宝可梦无法自由使出招式时，仅会回复１次。
强力香草	强力香草	パワフルハーブ	Power Herb	携带它的宝可梦仅有１次机会可以在第１回合使出需要蓄力的招式。
强制锻炼器	强制锻炼器	きょうせいギプス	Macho Brace	又硬又重的锻炼器。虽然携带后速度会降低，但会比平时更容易茁壮成长。
安抚之铃	安抚之铃	やすらぎのすず	Soothe Bell	音色悦耳的铃铛。携带它的宝可梦会受到安抚，变得容易和训练家亲密。
讲究头带	讲究头带	こだわりハチマキ	Choice Band	有点讲究的头带。虽然携带后攻击会提高，但只能使出相同的招式。
讲究眼镜	讲究眼镜	こだわりメガネ	Choice Specs	有点讲究的眼镜。虽然携带后特攻会提高，但只能使出相同的招式。
讲究围巾	讲究围巾	こだわりスカーフ	Choice Scarf	有点讲究的围巾。虽然携带后速度会提高，但只能使出相同的招式。
心之水滴	心之水滴	こころのしずく	Soul Dew	让拉帝欧斯或拉帝亚斯携带后，超能力和龙属性的招式威力就会提高的神奇珠子。
深海之牙	深海之牙	しんかいのキバ	Deep Sea Tooth	让珍珠贝携带后，特攻就会提高的牙齿。散发着闪亮的银光。
深海鳞片	深海鳞片	しんかいのウロコ	Deep Sea Scale	让珍珠贝携带后，特防就会提高的鳞片。散发着淡淡的粉红色光芒。
贝壳之铃	贝壳之铃	かいがらのすず	Shell Bell	当携带它的宝可梦攻击对手并造成伤害时，能回复少量ＨＰ。
海潮薰香	海潮薰香	うしおのおこう	Sea Incense	有着神奇香气的薰香。携带后，水属性的招式威力就会提高。
悠闲薰香	悠闲薰香	のんきのおこう	Lax Incense	携带后，薰香的神奇香气会迷惑对手，其招式会变得不容易命中。
奇异薰香	奇异薰香	あやしいおこう	Odd Incense	有着神奇香气的薰香。携带后，超能力属性的招式威力就会提高。
岩石薰香	岩石薰香	がんせきおこう	Rock Incense	有着神奇香气的薰香。携带后，岩石属性的招式威力就会提高。
饱腹薰香	饱腹薰香	まんぷくおこう	Full Incense	有着神奇香气的薰香。携带后，宝可梦的行动会比平时更加迟缓。
涟漪薰香	涟漪薰香	さざなみのおこう	Wave Incense	有着神奇香气的薰香。携带后，水属性的招式威力就会提高。
花朵薰香	花朵薰香	おはなのおこう	Rose Incense	有着神奇香气的薰香。携带后，草属性的招式威力就会提高。
幸运薰香	幸运薰香	こううんのおこう	Luck Incense	只要携带它的宝可梦在战斗时出场一次，就能获得２倍金钱。
洁净薰香	洁净薰香	きよめのおこう	Pure Incense	让排在最前面的宝可梦携带后，野生宝可梦就会不容易出现。
