PokeDemo Gen1 自定义刷新地点表（中英对照，完整补齐版）
来源：参考 Cobblemon Gen1 spawn_pool_world（仅参考数据与生态分布思路，不复制源码逻辑）；再按插件约束重写（PC/甘蔗/成熟浆果丛等）。
说明：化石/传说不自然刷新；大多数进化后形态不自然刷新；不包含地区形态/变种。
列：中文名 / English Name (speciesId) -> 维度 | 群系组 | 位置 | 桶 | 权重 | 等级 | 额外条件

#010 【绿毛虫 / Caterpie】(caterpie)
  - minecraft:overworld | forest,plains | land | common | w=3 | Lv1~20 | 无
  - minecraft:overworld | jungle | land | common | w=3 | Lv1~20 | 无

#013 【独角虫 / Weedle】(weedle)
  - minecraft:overworld | forest,jungle | land | common | w=3 | Lv1~20 | 无
  - minecraft:overworld | forest,plains | land | common | w=2 | Lv1~20 | 无

#016 【波波 / Pidgey】(pidgey)
  - minecraft:overworld | forest,plains | land | common | w=3 | Lv1~25 | 时间:day

#019 【小拉达 / Rattata】(rattata)
  - minecraft:overworld | forest,plains | land | common | w=3 | Lv1~25 | 时间:night

#021 【烈雀 / Spearow】(spearow)
  - minecraft:overworld | forest,plains | land | common | w=3 | Lv1~26 | 时间:day

#023 【阿柏蛇 / Ekans】(ekans)
  - minecraft:the_nether | arid | land | common | w=2 | Lv4~29 | 无
  - minecraft:overworld | arid | land | common | w=2 | Lv4~29 | 无

#025 【皮卡丘 / Pikachu】(pikachu)
  - minecraft:overworld | forest | land | uncommon | w=1 | Lv16~32 | 无
  - minecraft:overworld | beach | land | uncommon | w=1 | Lv16~32 | 无

#027 【穿山鼠 / Sandshrew】(sandshrew)
  - minecraft:overworld | arid | land | common | w=3 | Lv5~30 | 无

#029 【尼多兰 / Nidoran♀】(nidoranf)
  - minecraft:overworld | forest,plains | land | uncommon | w=3 | Lv3~28 | 无

#032 【尼多朗 / Nidoran♂】(nidoranm)
  - minecraft:overworld | forest,plains | land | uncommon | w=3 | Lv3~28 | 无

#035 【皮皮 / Clefairy】(clefairy)
  - minecraft:overworld | forest,plains | land | uncommon | w=1 | Lv17~32 | 时间:night
  - minecraft:overworld | mountain | land | uncommon | w=1 | Lv17~32 | 时间:night

#037 【六尾 / Vulpix】(vulpix)
  - minecraft:overworld | forest | land | uncommon | w=2 | Lv5~30 | 无
  - minecraft:overworld | forest,plains | land | uncommon | w=2 | Lv5~30 | 无

#039 【胖丁 / Jigglypuff】(jigglypuff)
  - minecraft:overworld | forest,plains | land | common | w=1 | Lv16~27 | 无
  - minecraft:overworld | plains | land | common | w=1 | Lv16~27 | 无

#041 【超音蝠 / Zubat】(zubat)
  - minecraft:overworld | forest,swamp | land | common | w=3 | Lv1~25 | 无
  - minecraft:overworld | forest,plains | land | common | w=3 | Lv1~25 | 无

#043 【走路草 / Oddish】(oddish)
  - minecraft:overworld | jungle | land | common | w=3 | Lv7~32 | 无
  - minecraft:overworld | forest,plains | land | common | w=1 | Lv7~32 | 无

#046 【派拉斯 / Paras】(paras)
  - minecraft:overworld | forest,plains | land | common | w=3 | Lv4~29 | 无
  - minecraft:the_nether | forest,plains | land | common | w=3 | Lv4~29 | 无

#048 【毛球 / Venonat】(venonat)
  - minecraft:overworld | swamp | land | common | w=2 | Lv6~31 | 时间:night

#050 【地鼠 / Diglett】(diglett)
  - minecraft:overworld | forest,plains | land | common | w=3 | Lv2~27 | 无

#052 【喵喵 / Meowth】(meowth)
  - minecraft:overworld | arid | land | common | w=7 | Lv4~29 | 无
  - minecraft:overworld | forest,plains | land | uncommon | w=7 | Lv4~29 | 无

#054 【可达鸭 / Psyduck】(psyduck)
  - minecraft:overworld | swamp | land | common | w=2 | Lv7~32 | 无
