species,has_poser_json,has_anim_json,idle,walk,run,fly,hover,swim,float,sleep,physical,special,status,cry,recoil,clips
abra,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,battle_idle;cry;dance;faint;ground_idle;ground_run;ground_walk;sleep
absol,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,blink;cry;ground_idle;render
accelgor,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,angry;blink;ground_idle;happy;hurt;sad;shock
aegislash,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,angry;battle_idle;blade_forme;blink;cry;ground_idle;ground_walk;happy;hurt;render;sad;shield_forme;shock;sleep;unamused
aerodactyl,True,True,True,True,True,True,True,False,False,True,False,False,False,True,True,air_fly;air_flyold;air_glide;air_idle;air_recoil;air_sleep;angry;battle_air_idle;battle_cry;battle_crywip;battle_idle;battle_sleep;blink;cry;demon;faintwip;fly_test;ground_idle;ground_run;ground_walk;happy;item_hold;recoil;ride_air_fly;ride_air_glide;ride_dive;ride_ground_run;ride_ground_walk;ride_jump;rider_quirk_left;rider_quirk_right;run_test;run_testfast;sad;sleep;unamused;walk_test
aggron,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,blink;cry;ground_idle;pose;pose2
aipom,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,battle_idle_test;battle_idle_wip;blink;cry;expressions;ground_idle;ground_run;ground_walk;hand_stand;shoulder_right_wip;sleep
alakazam,True,True,True,True,True,False,False,False,False,True,False,False,False,True,True,battle_idle;blink;cry;ground_idle;ground_run;ground_walk;recoil;sleep;wild_sleep
alcremie,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,blink;faint;ground_idle;ground_walk;shoulder_left;shoulder_left_test;shoulder_right;shoulder_right_test;sleep
alomomola,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,blink;ground_idle;ground_walk;sleep;walkspeedtest;water_idle;water_swim
altaria,True,True,True,True,False,True,True,False,False,True,False,False,False,True,True,air_fly;air_glide;air_idle;angry;blink;cry;disintrested;fly_speed_test;ground_idle;ground_walk;hold_item;hurt;ride_air_fly;ride_dive;sad;sleep;walk_speed_test;wild_sleep
amaura,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,base;battle_idle;blink;cry;faint;ground_idle;ground_run;ground_walk;q_youre_awesome;quirk_idle;run speed test;scale;sleep;walk speed test
ambipom,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,battle_idle;blink;cry;dance;expressions;ground_idle;ground_run_2;ground_run_test;ground_run_wip;ground_walk;sleep
amoonguss,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,blink;ground_idle;sleep
ampharos,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,battle_faint;battle_idle;blink;cry;faint;ground_idle;ground_run;ground_run_wip;ground_walk;quirk_glow;quirk_toes;sleep
annihilape,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,battle_basepose;battle_cry;battle_cry_bad;battle_idle;battle_idle_old;battle_intro;blink;cry;faint;ground_idle;ground_run;ground_walk;hair_overlay;hair_overlay_battle;physical;recoil;signature;signature_old;sleep;special;status;test_runspeed;test_walkspeed
anorith,True,True,True,True,False,False,False,True,True,True,False,False,False,True,False,battle_idle;blink;cry;ground_idle;ground_walk;render;shoulder_left;shoulder_right;sleep;summary_idle;swim_test;walk_test;water_battle_idle;water_idle;water_sleep;water_swim
araquanid,True,True,True,False,False,False,False,False,True,True,False,False,False,True,False,blink;cry;ground_idle;sleep;water_idle;water_sleep
